Date,Open,High,Low,Close,Adj Close,Volume
2023-11-20,135.5,138.425,135.49,137.92,137.099135183201,19589006
2023-11-21,137.94,138.965,137.705,138.62,137.794968960958,17648067
2023-11-22,139.1,141.1,139.0,140.02,139.186636516472,17310209
2023-11-24,139.54,139.677,137.47,138.22,137.397349659382,8828640
2023-11-27,137.57,139.63,137.54,138.05,137.228361456213,17886389
2023-11-28,137.63,138.66,137.04,138.62,137.794968960958,17046868
2023-11-29,138.985,139.67,136.295,136.4,135.588181837214,21014715
2023-11-30,136.4,136.96,132.79,133.92,133.122942167447,29913531
2023-12-01,133.32,133.5,132.1517,133.32,132.526513215083,24267987
2023-12-04,131.294,131.45,129.4,130.63,129.852523411989,24117083
2023-12-05,130.37,133.54,129.73,132.39,131.602048338921,19235145
2023-12-06,132.9,133.31,131.31,131.43,130.64776201514,16265640
2023-12-07,136.6,140.0,136.23,138.45,137.625980757788,38419426
2023-12-08,135.66,137.99,135.57,136.64,135.826753418159,23016139
2023-12-11,133.82,134.79,132.89,134.7,133.898299805519,24502860
2023-12-12,133.27,134.54,132.83,133.64,132.844608656344,26583981
2023-12-13,134.545,134.78,132.95,133.97,133.172644580144,25414461
2023-12-14,134.77,135.035,131.06,133.2,132.407227424611,29619098
2023-12-15,132.92,134.83,132.63,133.84,133.043418307132,58594004
2023-12-18,133.86,138.38,133.77,137.19,136.373479957826,25699767
2023-12-19,138.0,138.77,137.45,138.1,137.27806386891,20601632
2023-12-20,140.33,143.0783,139.41,139.66,138.828779145054,33507342
2023-12-21,140.77,142.03,140.4725,141.8,140.956042408482,18101476
2023-12-22,142.13,143.25,142.055,142.72,141.870566802106,18513524
2023-12-26,142.98,143.945,142.5001,142.82,141.969971627499,11170066
2023-12-27,142.83,143.32,141.0512,141.44,140.598185037064,17261305
2023-12-28,141.85,142.27,140.8283,141.28,140.439137316434,12192549
2023-12-29,140.68,141.435,139.9,140.93,140.091220427556,14880961
2024-01-02,139.6,140.6147,137.74,139.56,138.72937431966,20071885
2024-01-03,138.6,141.09,138.43,140.36,139.524612922811,18974308
2024-01-04,139.85,140.635,138.01,138.04,137.218420973673,18253331
2024-01-05,138.352,138.81,136.85,137.39,136.572289608613,15140136
2024-01-08,138.0,140.64,137.88,140.53,139.69360112598,17645293
2024-01-09,140.06,142.7998,139.79,142.56,141.711519081475,19579667
2024-01-10,142.52,144.525,142.46,143.8,142.944138916359,16641881
2024-01-11,144.895,146.66,142.215,143.67,142.814912643347,17471130
2024-01-12,144.34,144.74,143.36,144.24,143.381520148092,13998729
2024-01-16,143.43,145.84,143.0564,144.08,143.222472427462,19198939
