Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02 12:00:00,61.22,62.1599,60.43,61.46,61.46,15248446
2024-01-03 12:00:00,60.7,60.75,58.35,58.63,58.63,21245801
2024-01-04 12:00:00,58.02,59.065,57.44,58.45,58.45,16680401
2024-01-05 12:00:00,57.74,60.37,57.64,60.12,60.12,17420162
2024-01-08 12:00:00,60.4,61.92,60.06,61.74,61.74,14254286
2024-01-09 12:00:00,60.28,62.02,60.12,61.05,61.05,14877312
2024-01-10 12:00:00,60.95,61.43,60.29,60.96,60.96,10137889
2024-01-11 12:00:00,60.65,61.495,60.08,61.35,61.35,11900696
2024-01-12 12:00:00,61.8,61.908,60.74,61.0,61.0,9282572
2024-01-16 12:00:00,60.05,60.24,58.095,58.45,58.45,20907071
2024-01-17 12:00:00,57.42,59.98,56.471,59.89,59.89,29527412
2024-01-18 12:00:00,60.49,62.47,60.12,62.09,62.09,25339454
2024-01-19 12:00:00,63.0,66.21,62.26,65.82,65.82,38264634
2024-01-22 12:00:00,68.022,68.21,63.22,63.74,63.74,44006892
2024-01-23 12:00:00,64.525,65.73,64.18,64.78,64.78,19876746
2024-01-24 12:00:00,65.99,66.0,62.96,63.02,63.02,21694060
2024-01-25 12:00:00,63.46,64.33,58.9,60.71,60.71,43452620
2024-01-26 12:00:00,60.32,62.2662,60.01,61.78,61.78,18430724
2024-01-29 12:00:00,61.2,63.79,60.9,63.76,63.76,15913851
2024-01-30 12:00:00,62.9,64.5,62.07,63.68,63.68,18786106
2024-01-31 12:00:00,63.0,63.4,61.19,61.35,61.35,15623057
2024-02-01 12:00:00,61.51,62.06,60.6423,62.02,62.02,13449401
2024-02-02 12:00:00,61.79,62.72,61.0,62.42,62.42,14618910
2024-02-05 12:00:00,62.0,62.0779,61.3,61.54,61.54,10223339
2024-02-06 12:00:00,62.03,63.73,61.62,63.71,63.71,17564318
2024-02-07 12:00:00,64.54,64.9,62.85,63.24,63.24,33204334
2024-02-08 12:00:00,57.98,58.59,55.77,56.13,56.13,68272674
2024-02-09 12:00:00,56.205,59.22,56.1601,58.91,58.91,31421423
2024-02-12 12:00:00,58.61,60.615,58.42,60.09,60.09,21768226
2024-02-13 12:00:00,57.88,58.7301,57.86,58.26,58.26,19540231
2024-02-14 12:00:00,58.595,59.015,57.63,58.87,58.87,16520620
2024-02-15 12:00:00,58.86,60.245,58.06,59.7,59.7,13321039
2024-02-16 12:00:00,58.86,59.75,58.4501,59.14,59.14,12195813
2024-02-20 12:00:00,58.23,59.0299,58.19,58.63,58.63,12399526
2024-02-21 12:00:00,58.08,58.45,57.145,57.48,57.48,13424268
2024-02-22 12:00:00,57.77,58.64,57.37,58.35,58.35,17292990
2024-02-23 12:00:00,58.85,59.4301,58.2301,59.16,59.16,13356992
2024-02-26 12:00:00,58.93,60.175,58.71,59.33,59.33,11055453
2024-02-27 12:00:00,59.57,60.24,59.44,60.16,60.16,11440006
2024-02-28 12:00:00,59.7,60.9,59.44,60.25,60.25,9851606
2024-02-29 12:00:00,60.6,61.8657,60.015,60.34,60.34,17117343
2024-03-01 12:00:00,60.53,61.64,60.21,60.54,60.54,17590442
2024-03-04 12:00:00,60.41,60.6,58.86,59.98,59.98,17125211
2024-03-05 12:00:00,59.51,60.83,57.87,58.27,58.27,18017682
2024-03-06 12:00:00,58.75,58.92,57.91,58.12,58.12,17160116
2024-03-07 12:00:00,58.46,59.055,57.95,58.5,58.5,19447863
2024-03-08 12:00:00,58.72,59.5603,58.242,59.01,59.01,18268121
2024-03-11 11:00:00,59.0,60.2197,58.945,60.08,60.08,11120680
2024-03-12 11:00:00,59.8,60.475,59.296,60.03,60.03,13485068
2024-03-13 11:00:00,59.98,63.3,59.81,62.45,62.45,19983379
2024-03-14 11:00:00,62.51,64.2,62.21,63.0,63.0,19342011
2024-03-15 11:00:00,62.6,63.83,62.43,62.85,62.85,20039972
2024-03-18 11:00:00,63.12,64.76,63.1,64.23,64.23,14219880
2024-03-19 11:00:00,63.77,64.05,62.8,63.01,63.01,9089319
2024-03-20 11:00:00,63.58,65.36,63.115,65.05,65.05,12637234
2024-03-21 11:00:00,65.3,66.99,65.05,66.14,66.14,14022134
2024-03-22 11:00:00,66.44,67.25,64.75,64.77,64.77,10208057
2024-03-25 11:00:00,64.8,66.385,64.8,66.0,66.0,10224312
2024-03-26 11:00:00,66.74,67.97,66.5,66.67,66.67,14826401
2024-03-27 11:00:00,67.72,68.21,66.14,66.57,66.57,10591212
2024-03-28 11:00:00,66.87,67.72,66.43,66.99,66.99,10775822
2024-04-01 11:00:00,67.0,67.361,65.0,65.03,65.03,9840525
2024-04-02 11:00:00,63.95,64.84,63.55,64.66,64.66,10299672
2024-04-03 11:00:00,64.48,65.455,64.41,65.34,65.34,7176112
2024-04-04 11:00:00,65.99,66.36,64.34,64.54,64.54,9880570
2024-04-05 11:00:00,64.7,65.47,64.06,65.15,65.15,8062301
2024-04-08 11:00:00,65.53,66.7,65.33,66.34,66.34,8421432
2024-04-09 11:00:00,66.95,67.26,66.385,67.0,67.0,8459879
2024-04-10 11:00:00,65.12,66.19,65.05,65.88,65.88,8566270
2024-04-11 11:00:00,65.845,66.3775,64.68,65.8,65.8,8785482
2024-04-12 11:00:00,65.38,65.97,64.16,64.59,64.59,9933991
2024-04-15 11:00:00,65.06,65.47,63.25,63.51,63.51,11008660
2024-04-16 11:00:00,62.99,64.21,62.92,63.43,63.43,9912670
2024-04-17 11:00:00,63.78,63.97,62.58,63.26,63.26,8000869
2024-04-18 11:00:00,63.85,64.03,61.95,62.1,62.1,8740022
2024-04-19 11:00:00,62.0,62.4601,61.725,62.31,62.31,13177880
2024-04-22 11:00:00,63.04,63.635,62.48,63.19,63.19,9958232
2024-04-23 11:00:00,63.38,64.7,63.2,64.43,64.43,9912958
2024-04-24 11:00:00,64.11,65.09,64.02,64.84,64.84,8189112
2024-04-25 11:00:00,63.47,64.4005,62.95,64.1,64.1,11661244
2024-04-26 11:00:00,64.13,66.3,63.75,65.96,65.96,14200886
2024-04-29 11:00:00,66.0,67.55,66.0,66.99,66.99,19142390
2024-04-30 11:00:00,70.0,70.6618,67.22,67.92,67.92,43903402
2024-05-01 11:00:00,67.0,67.8,65.49,66.14,66.14,17966526
2024-05-02 11:00:00,66.7,67.44,65.83,66.98,66.98,14480564
2024-05-03 11:00:00,67.64,67.89,64.72,65.7,65.7,15435157
2024-05-06 11:00:00,66.0,66.1,64.95,65.61,65.61,11237063
2024-05-07 11:00:00,66.08,66.77,65.77,65.92,65.92,9232204
2024-05-08 11:00:00,65.46,65.7,63.77,63.81,63.81,11183819
2024-05-09 11:00:00,63.87,64.47,63.41,64.45,64.45,8368668
2024-05-10 11:00:00,64.59,64.94,62.88,62.93,62.93,8745768
2024-05-13 11:00:00,63.435,64.43,63.19,63.95,63.95,7311644
2024-05-14 11:00:00,64.39,64.86,64.27,64.58,64.58,7556453
2024-05-15 11:00:00,65.11,65.53,63.48,63.9,63.9,10948101
2024-05-16 11:00:00,63.59,64.43,63.4201,64.1,64.1,8113565
2024-05-17 11:00:00,64.08,64.71,63.845,64.48,64.48,8204812
2024-05-20 11:00:00,64.528,65.035,63.77,64.77,64.77,6429049
2024-05-21 11:00:00,64.39,64.69,63.7,64.1,64.1,6576018
2024-05-22 11:00:00,63.79,63.91,61.845,62.19,62.19,14532237
2024-05-23 11:00:00,62.54,62.685,61.2201,61.58,61.58,10533414
2024-05-24 11:00:00,61.95,62.06,61.27,61.64,61.64,8176776
2024-05-28 11:00:00,62.3,62.87,61.75,62.17,62.17,11159562
2024-05-29 11:00:00,61.23,61.59,60.85,61.05,61.05,8142812
2024-05-30 11:00:00,62.77,63.34,62.13,62.51,62.51,11830710
2024-05-31 11:00:00,62.73,63.56,61.77,62.99,62.99,14269038
2024-06-03 11:00:00,63.04,63.52,62.58,63.46,63.46,9039816
2024-06-04 11:00:00,63.14,64.13,63.03,63.33,63.33,9013058
2024-06-05 11:00:00,63.76,63.81,62.85,63.53,63.53,8846106
2024-06-06 11:00:00,64.285,67.82,64.17,67.02,67.02,22068792
2024-06-07 11:00:00,66.5,68.2985,66.2,67.3,67.3,13194960
2024-06-10 11:00:00,66.97,67.49,65.8,67.09,67.09,11978817
2024-06-11 11:00:00,67.13,67.15,64.405,64.77,64.77,15108667
2024-06-12 11:00:00,65.46,65.86,62.9,63.43,63.43,14136013
2024-06-13 11:00:00,63.12,63.625,61.52,61.54,61.54,11985383
2024-06-14 11:00:00,61.29,61.64,60.31,60.635,60.635,10366037
2024-06-17 11:00:00,60.37,60.64,59.4805,60.13,60.13,13553287
2024-06-18 11:00:00,59.92,60.11,59.03,59.12,59.12,13487311
2024-06-20 11:00:00,59.25,60.0,58.79,59.8,59.8,12928493
2024-06-21 11:00:00,59.92,60.76,59.67,60.61,60.61,18888289
2024-06-24 11:00:00,60.0,60.56,59.46,59.49,59.49,10464729
2024-06-25 11:00:00,59.57,59.57,58.97,59.33,59.33,9359170
2024-06-26 11:00:00,59.74,59.75,58.03,58.26,58.26,12599367
2024-06-27 11:00:00,58.48,58.49,57.21,58.37,58.37,11648923
2024-06-28 11:00:00,58.32,58.76,57.9,58.03,58.03,28102011
2024-07-01 11:00:00,58.36,58.365,57.03,57.81,57.81,12228667
2024-07-02 11:00:00,58.78,59.27,58.32,58.97,58.97,13062566
2024-07-03 11:00:00,59.03,60.01,58.895,59.64,59.64,6908317
2024-07-05 11:00:00,59.38,60.16,58.83,59.76,59.76,12243845
2024-07-08 11:00:00,59.72,60.0299,58.63,59.09,59.09,10320364
2024-07-09 11:00:00,58.9,59.7,58.42,59.0,59.0,8477370
2024-07-10 11:00:00,59.09,59.31,58.2,58.9,58.9,7697110
2024-07-11 11:00:00,59.55,60.93,59.43,59.99,59.99,13025969
2024-07-12 11:00:00,60.39,60.52,59.78,60.27,60.27,8158825
2024-07-15 11:00:00,60.25,61.02,59.82,60.47,60.47,9442989
2024-07-16 11:00:00,60.8,62.02,60.68,61.81,61.81,9198845
2024-07-17 11:00:00,61.11,61.84,60.655,61.24,61.24,8322110
2024-07-18 11:00:00,60.55,61.33,59.94,60.0,60.0,9102024
2024-07-19 11:00:00,59.81,59.83,58.75,59.33,59.33,9352934
2024-07-22 11:00:00,59.9,60.79,59.52,60.77,60.77,7486501
2024-07-23 11:00:00,60.72,60.95,59.69,59.71,59.71,7572010
2024-07-24 11:00:00,59.55,59.66,57.98,58.07,58.07,11801729
2024-07-25 11:00:00,58.16,58.65,57.2,57.22,57.22,12515747
2024-07-26 11:00:00,57.6,58.31,56.97,58.29,58.29,11323434
2024-07-29 11:00:00,58.5,59.1,58.07,58.94,58.94,12346842
2024-07-30 11:00:00,62.775,65.06,62.43,64.0,64.0,44232794
2024-07-31 11:00:00,65.0,66.99,64.17,65.78,65.78,25825919
2024-08-01 11:00:00,65.78,67.3,65.02,65.31,65.31,19086364
2024-08-02 11:00:00,64.0,64.04,60.89,61.98,61.98,23117055
2024-08-05 11:00:00,60.7,61.055,58.65,60.46,60.46,17445401
2024-08-06 11:00:00,60.6,63.58,60.3,62.75,62.75,14358874
2024-08-07 11:00:00,63.345,65.01,62.64,62.74,62.74,13464354
2024-08-08 11:00:00,63.55,64.675,63.1,64.28,64.28,9761208
2024-08-09 11:00:00,64.8,65.5,64.47,64.72,64.72,8605324
2024-08-12 11:00:00,64.95,65.13,63.285,63.46,63.46,7519467
2024-08-13 11:00:00,64.0,65.64,63.72,65.11,65.11,8638603
2024-08-14 11:00:00,65.06,66.39,64.66,66.14,66.14,8944776
2024-08-15 11:00:00,67.16,68.12,67.05,67.94,67.94,12933279
2024-08-16 11:00:00,67.37,68.55,67.37,67.96,67.96,9492778
2024-08-19 11:00:00,68.22,69.46,68.17,69.43,69.43,9578068
2024-08-20 11:00:00,70.0,72.56,69.43,71.89,71.89,23545969
2024-08-21 11:00:00,72.065,72.77,70.87,71.46,71.46,10422485
2024-08-22 11:00:00,71.74,73.25,70.92,71.52,71.52,11811123
2024-08-23 11:00:00,72.0,72.0699,70.84,71.7,71.7,8222231
2024-08-26 11:00:00,72.07,73.03,71.67,72.04,72.04,9062957
2024-08-27 11:00:00,71.75,72.35,71.3,71.59,71.59,9396932
2024-08-28 11:00:00,71.27,71.5899,70.025,70.43,70.43,9277660
2024-08-29 11:00:00,71.4,73.93,71.25,73.16,73.16,13181591
2024-08-30 11:00:00,73.51,73.69,71.76,72.43,72.43,9634963
2024-09-03 11:00:00,71.755,72.9484,71.4,72.0,72.0,8561345
2024-09-04 11:00:00,71.605,73.24,71.59,72.61,72.61,8368990
2024-09-05 11:00:00,73.66,74.4,71.015,72.03,72.03,11473844
2024-09-06 11:00:00,71.94,72.05,68.55,68.89,68.89,12315821
2024-09-09 11:00:00,70.392,70.65,68.25,69.35,69.35,11869340
2024-09-10 11:00:00,69.34,69.74,67.15,68.85,68.85,12317452
2024-09-11 11:00:00,69.16,69.7,67.76,69.35,69.35,12344870
2024-09-12 11:00:00,69.14,70.38,69.04,70.36,70.36,8376713
2024-09-13 11:00:00,70.04,70.6202,69.8601,70.1,70.1,7572594
2024-09-16 11:00:00,70.46,71.24,70.0699,71.07,71.07,6494997
2024-09-17 11:00:00,71.93,72.17,71.12,71.77,71.77,6187212
2024-09-18 11:00:00,71.45,73.87,71.36,73.12,73.12,13498163
2024-09-19 11:00:00,75.0,78.245,74.81,77.57,77.57,21662377
2024-09-20 11:00:00,77.31,77.57,75.462,76.76,76.76,27274648
2024-09-23 11:00:00,77.53,78.8,77.35,77.67,77.67,12839810
2024-09-24 11:00:00,77.88,78.83,77.67,78.34,78.34,14724836
2024-09-25 11:00:00,78.23,79.26,77.34,77.36,77.36,13822395
2024-09-26 11:00:00,78.945,80.43,78.47,80.08,80.08,13316657
2024-09-27 11:00:00,80.4,80.6299,77.73,77.88,77.88,11575282
2024-09-30 11:00:00,77.87,78.5952,77.24,78.03,78.03,6828835
2024-10-01 11:00:00,78.21,79.01,76.39,77.47,77.47,10549917
2024-10-02 11:00:00,77.47,77.77,76.18,77.44,77.44,8073322
2024-10-03 11:00:00,76.53,77.4,76.04,77.31,77.31,9109861
2024-10-04 11:00:00,78.16,79.53,77.985,79.36,79.36,10083594
2024-10-07 11:00:00,79.29,80.49,78.615,80.26,80.26,9206569
2024-10-08 11:00:00,79.99,81.3999,79.575,81.16,81.16,8618496
2024-10-09 11:00:00,80.88,82.0,80.85,81.65,81.65,6925969
2024-10-10 11:00:00,79.94,80.075,78.53,78.98,78.98,11326106
2024-10-11 11:00:00,79.54,80.7263,79.16,80.51,80.51,7744777
2024-10-14 11:00:00,80.34,80.98,79.82,80.67,80.67,5865449
2024-10-15 11:00:00,80.15,81.06,78.65,79.55,79.55,7291606
2024-10-16 11:00:00,79.81,80.85,79.45,80.82,80.82,5434792
2024-10-17 11:00:00,80.75,80.9,79.225,79.82,79.82,7938671
2024-10-18 11:00:00,79.5,80.97,78.94,80.94,80.94,8844338
2024-10-21 11:00:00,80.315,81.36,80.04,80.56,80.56,6200964
2024-10-22 11:00:00,80.05,81.42,80.04,80.91,80.91,7571253
2024-10-23 11:00:00,81.24,82.24,80.09,80.83,80.83,7632139
2024-10-24 11:00:00,81.235,82.48,80.92,81.39,81.39,7398779
2024-10-25 11:00:00,82.01,82.8,81.4,81.7,81.7,7201013
2024-10-28 11:00:00,82.03,83.7,81.88,83.59,83.59,15243510
2024-10-29 11:00:00,78.04,81.25,76.81,80.28,80.28,35206386
2024-10-30 11:00:00,79.03,79.71,77.99,78.22,78.22,14910497
2024-10-31 11:00:00,78.49,79.82,78.3,79.3,79.3,13919255
2024-11-01 11:00:00,77.865,78.3089,76.46,77.25,77.25,16473606
2024-11-04 12:00:00,77.26,78.44,77.0,78.13,78.13,10257036
2024-11-05 12:00:00,77.738,79.41,77.738,79.25,79.25,6323919
2024-11-06 12:00:00,81.345,81.69,79.995,81.41,81.41,11546541
2024-11-07 12:00:00,81.695,82.74,81.13,81.35,81.35,7994293
2024-11-08 12:00:00,81.46,83.07,81.35,83.01,83.01,8144180
2024-11-11 12:00:00,84.07,87.47,83.38,86.94,86.94,15324099
2024-11-12 12:00:00,86.88,87.92,85.6746,86.4,86.4,10036908
2024-11-13 12:00:00,86.8,87.9,86.08,87.31,87.31,9256571
2024-11-14 12:00:00,87.06,87.4725,85.475,85.79,85.79,8468252
2024-11-15 12:00:00,85.35,86.2,85.1014,85.83,85.83,8030667
2024-11-18 12:00:00,86.055,86.84,84.575,84.67,84.67,10152571
2024-11-19 12:00:00,82.99,84.235,82.5,84.09,84.09,12442731
2024-11-20 12:00:00,84.51,85.6,84.24,84.74,84.74,6076348
2024-11-21 12:00:00,85.16,85.49,84.21,84.82,84.82,7250051
2024-11-22 12:00:00,84.68,86.8,84.57,86.77,86.77,6785992
2024-11-25 12:00:00,87.99,88.74,86.97,87.77,87.77,12998272
2024-11-26 12:00:00,87.4,88.18,86.9,86.94,86.94,5610415
2024-11-27 12:00:00,87.55,87.66,86.27,86.57,86.57,5477894
2024-11-29 12:00:00,86.39,87.08,85.82,86.77,86.77,4443240
2024-12-02 12:00:00,86.55,87.47,85.84,86.53,86.53,7273536
2024-12-03 12:00:00,86.4,86.4,84.615,85.14,85.14,8189778
2024-12-04 12:00:00,85.68,90.14,85.24,89.33,89.33,15535961
2024-12-05 12:00:00,89.59,90.27,88.27,89.045,89.045,9025551
2024-12-06 12:00:00,89.49,90.04,88.545,89.88,89.88,6955544
2024-12-09 12:00:00,92.25,93.66,89.73,90.0,90.0,10714196
2024-12-10 12:00:00,89.94,90.0,88.375,88.76,88.76,6697466
2024-12-11 12:00:00,88.62,91.03,87.84,90.75,90.75,6657199
2024-12-12 12:00:00,90.43,91.17,89.335,89.4,89.4,4711138
2024-12-13 12:00:00,90.42,91.185,89.82,91.02,91.02,8358050
2024-12-16 12:00:00,90.79,91.46,89.52,91.3,91.3,7402470
2024-12-17 12:00:00,90.9,92.0,90.23,90.86,90.86,8395584
2024-12-18 12:00:00,90.695,91.09,85.1764,85.45,85.45,12583697
2024-12-19 12:00:00,86.28,88.42,86.16,86.78,86.78,9522428
2024-12-20 12:00:00,84.91,88.23,84.5,87.13,87.13,22052710
2024-12-23 12:00:00,86.47,87.24,85.97,86.9,86.9,5633131
2024-12-24 12:00:00,86.9,88.33,86.59,88.25,88.25,3276344
2024-12-26 12:00:00,87.6,88.73,87.26,88.14,88.14,4802170
2024-12-27 12:00:00,87.36,87.655,86.2027,86.86,86.86,5124993
2024-12-30 12:00:00,85.69,86.0675,84.66,85.43,85.43,5855039
2024-12-31 12:00:00,85.735,85.9,85.05,85.35,85.35,4533202
2025-01-02 12:00:00,85.835,86.94,84.82,86.18,86.18,6227776
2025-01-03 12:00:00,86.73,87.7,86.31,87.6,87.6,6136427
2025-01-06 12:00:00,88.02,90.09,87.72,89.53,89.53,7869184
2025-01-07 12:00:00,89.53,89.97,87.6,87.97,87.97,6076596
2025-01-08 12:00:00,88.06,88.23,86.79,87.94,87.94,7400030
2025-01-10 12:00:00,86.79,87.09,82.24,83.36,83.36,11332216
